FlightName,Date,Departure time,Arrival Time,From,To,Duration,Stops,Price
SpiceJet,"Sun, Feb 27, 2022",07:45,12:25,New Delhi,Mumbai,04 h 40 m,1 stop via Jabalpur,"₹ 15,720"
,"Sun, Feb 27, 2022",,,,,,,
,"Sun, Feb 27, 2022",,,,,,,
,"Sun, Feb 27, 2022",,,,,,,
,"Sun, Feb 27, 2022",,,,,,,
Vistara,"Sun, Feb 27, 2022",12:50,15:00,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 15,721"
Go First,"Sun, Feb 27, 2022",09:10,14:15,New Delhi,Mumbai,05 h 05 m,1 stop via Varanasi,"₹ 16,220"
Go First,"Sun, Feb 27, 2022",16:40,21:25,New Delhi,Mumbai,04 h 45 m,1 stop via Ahmedabad,"₹ 16,323"
Vistara,"Sun, Feb 27, 2022",16:45,19:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 20,663"
AirAsia,"Tue, Mar 1, 2022",08:20,14:10,New Delhi,Mumbai,05 h 50 m,1 stop via Ranchi,"₹ 5,952"
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
,"Tue, Mar 1, 2022",,,,,,,
IndiGo,"Tue, Mar 1, 2022",02:00,04:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
Go First,"Tue, Mar 1, 2022",02:00,04:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
IndiGo,"Tue, Mar 1, 2022",04:45,07:10,New Delhi,Mumbai,02 h 25 m,Non stop,"₹ 5,955"
SpiceJet,"Tue, Mar 1, 2022",06:20,08:40,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
IndiGo,"Tue, Mar 1, 2022",06:30,08:40,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
Air India,"Tue, Mar 1, 2022",07:00,09:05,New Delhi,Mumbai,02 h 05 m,Non stop,"₹ 5,955"
Go First,"Tue, Mar 1, 2022",07:00,09:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Tue, Mar 1, 2022",07:15,09:25,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
SpiceJet,"Tue, Mar 1, 2022",07:20,09:35,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
Air India,"Tue, Mar 1, 2022",08:00,10:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Tue, Mar 1, 2022",08:10,10:20,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Tue, Mar 1, 2022",08:45,11:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
Air India,"Tue, Mar 1, 2022",09:00,11:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
IndiGo,"Tue, Mar 1, 2022",09:30,12:00,New Delhi,Mumbai,02 h 30 m,Non stop,"₹ 5,955"
Go First,"Tue, Mar 1, 2022",10:30,12:50,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
IndiGo,"Tue, Mar 1, 2022",10:45,13:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
Go First,"Tue, Mar 1, 2022",11:15,13:25,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
Go First,"Tue, Mar 1, 2022",15:00,17:00,New Delhi,Mumbai,02 h,Non stop,"₹ 5,955"
